Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
2427,11/05/2024,11/06/2024,RALPHS #0044,Food & Drink,Sale,-8.97,
2427,11/05/2024,11/06/2024,SMART AND FINAL 395,Food & Drink,Sale,-11.46,
2427,11/04/2024,11/06/2024,SMART AND FINAL 395,Food & Drink,Sale,-6.71,
2427,11/04/2024,11/06/2024,LAX-C,Food & Drink,Sale,-433.09,
2427,11/05/2024,11/06/2024,TARGET        00032318,Merchandise & Inventory,Sale,-7.65,
2427,11/05/2024,11/06/2024,LAX-C,Food & Drink,Sale,-428.31,
2427,11/03/2024,11/05/2024,Silom Supermarket Inc,Food & Drink,Sale,-25.98,
2427,11/04/2024,11/04/2024,Payment Thank You-Mobile,,Payment,1112.86,
2427,11/01/2024,11/04/2024,Silom Supermarket Inc,Food & Drink,Sale,-16.64,
2427,11/02/2024,11/04/2024,LAX-C,Food & Drink,Sale,-709.20,
2427,11/03/2024,11/04/2024,SMART AND FINAL 395,Food & Drink,Sale,-70.47,
2427,11/01/2024,11/03/2024,LAX-C,Food & Drink,Sale,-219.61,
2427,11/02/2024,11/03/2024,SMART AND FINAL 395,Food & Drink,Sale,-21.43,
2427,10/29/2024,10/30/2024,NEXT INSUR* COMM PROP,Bills & Utilities,Sale,-286.68,
2427,10/29/2024,10/30/2024,NEXT INSUR* GEN LIAB,Bills & Utilities,Sale,-331.50,
2427,10/25/2024,10/27/2024,IN *WAWIO PAYMENTS LLC,Professional Services,Sale,-253.64,
